Metric	Value
Nb_Discours	8963
Nb_Presidents	1
Nb_Paragraphs	337910
Nb_Topics	15
Execution_Time_Sec	371.63
CPU_Usage_Percent	0.00
Memory_Usage_Percent	2.70
GPU_Usage_Percent	0.00
GPU_Power_Watts	10.62

Topic_ID	Nb_Paragraphs	Top_Words
1	128013	바랍니다 | 믿습니다 | 것입니다 | 함께 | 세계 | 기대합니다 | 것으로 | 우리 | 평화와 | 이번
2	12052	민족 | 것입니다 | 아니라 | 같이 | 동안 | 있는 | 바로 | 있읍니다 | 우리 | 감사합니다
3	15151	정부는 | 또한 | 더욱 | 위해 | 이를 | 노력을 | 위한 | 우리는 | 우리의 | 것입니다
4	10520	하는 | 있는 | 것은 | 것이 | 것입니다 | 모든 | 우리가 | 것을 | 우리 | 것이다
5	13469	한국과 | 관계를 | 새로운 | 양국 | 아시아 | 한국의 | 왔습니다 | 한국은 | 지난 | 있습니다
6	19556	있는 | 적극 | 대한 | 위한 | 있습니다 | 위해 | 정부는 | 바랍니다 | 있도록 | 것입니다
7	19145	저는 | 그런 | 때문에 | 있는 | 것이 | 하고 | 이런 | 대통령 | 생각합니다 | 있습니다
8	14699	것을 | 바입니다 | 나는 | 국민 | 저는 | 함께 | 위해 | 국민의 | 오늘 | 우리
9	15282	모두가 | 시대를 | 함께 | 위해서는 | 것입니다 | 우리는 | 새로운 | 이제 | 우리 | 합니다
10	12445	여러분께 | 한번 | 것을 | 주신 | 말씀을 | 깊은 | 드립니다 | 진심으로 | 오늘 | 다시
11	18868	많은 | 있으며 | 우리의 | 그러나 | 우리는 | 지금 | 있는 | 세계 | 우리 | 있습니다
12	12039	정치 | 앞으로 | 그리고 | 따라 | 대한 | 나갈 | 있는 | 사회 | 있을 | 것입니다
13	18535	각하 | 자리에 | 사랑하는 | 내외 | 귀빈 | 친애하는 | 존경하는 | 그리고 | 국민 | 여러분
14	9320	더욱 | 여러분이 | 이와 | 여러분은 | 본인은 | 같은 | 나는 | 바입니다 | 것을 | 여러분의
15	18816	가지 | 그러나 | 가장 | 것이 | 우리가 | 우리 | 하는 | 것은 | 있는 | 것입니다
